"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"319","06019",2020-07-24,8.431331,5.592903,10.504803,1.001895,0.695714285714286,392
"322","06029",2020-07-24,6.218125,11.362344,9.318933,1.672632,0.805714285714286,1037
"325","06037",2020-07-24,8.353599,7.261917,8.187571,0.684009,0.412857142857143,1909
"333","06059",2020-07-24,6.918484,7.460589,5.938643,0.853306,0.407142857142857,710
"335","06065",2020-07-24,4.065367,9.434835,5.907174,0.639667,0.581428571428572,654
"336","06067",2020-07-24,3.366442,5.474215,4.107465,0.497901,0.535714285714286,307
"338","06071",2020-07-24,3.294223,8.024962,5.445926,0.934368,0.57,611
"339","06073",2020-07-24,4.854194,4.393828,2.731102,0.379257,0.38,490
"340","06075",2020-07-24,7.041309,4.076072,16.577544,0.264679,0.252857142857143,115
"343","06081",2020-07-24,6.126397,0.424625,3.645736,0.908885,0.267142857142857,72
"345","06085",2020-07-24,4.795851,1.277747,5.937505,0.660979,0.321428571428571,186
"353","06111",2020-07-24,4.587273,4.053364,6.365755,0.368877,0.32,236
"357","06001",2020-07-20,8.912718,2.01203,9.827634,0.712483,0.347142857142857,19
"362","06013",2020-07-20,7.465549,3.741497,11.664363,0.896815,0.401428571428572,125
"364","06019",2020-07-20,9.196357,6.927457,12.593037,1.133636,0.762857142857143,685
"367","06029",2020-07-20,8.522668,14.457614,8.981624,1.837775,1.02571428571429,787
"370","06037",2020-07-20,13.463821,6.831289,7.454573,0.665821,0.46,3158
"378","06059",2020-07-20,12.986356,5.4611,6.295315,0.930595,0.494285714285714,560
"380","06065",2020-07-20,7.506063,7.505117,6.528587,0.682934,0.66,1288
"381","06067",2020-07-20,4.502806,4.496323,3.760212,0.527223,0.517142857142857,391
"383","06071",2020-07-20,5.507983,9.920468,5.162798,0.908486,0.641428571428571,327
"384","06073",2020-07-20,7.093692,6.247029,2.931761,0.487233,0.41,453
"385","06075",2020-07-20,8.259502,5.004306,18.591441,0.241611,0.267142857142857,103
"388","06081",2020-07-20,8.072276,0.205552,5.821609,0.347558,0.311428571428571,86
"390","06085",2020-07-20,6.809983,1.366689,5.896777,0.876449,0.312857142857143,339
"398","06111",2020-07-20,4.284811,3.624717,6.847193,0.610218,0.325714285714286,224
"402","06001",2020-07-21,8.225585,1.952356,9.148561,0.712971,0.331428571428571,127
"407","06013",2020-07-21,6.926489,4.234397,10.862497,0.901186,0.397142857142857,200
"409","06019",2020-07-21,8.652567,6.759214,11.241525,1.132397,0.731428571428571,331
"412","06029",2020-07-21,8.338238,13.804416,8.792177,1.818187,0.995714285714286,834
"415","06037",2020-07-21,12.26037,7.324928,7.638449,0.62122,0.442857142857143,2628
"423","06059",2020-07-21,11.38705,6.144161,6.228479,0.913919,0.455714285714286,990
"425","06065",2020-07-21,6.598314,7.869777,6.266994,0.678524,0.627142857142857,907
"426","06067",2020-07-21,4.018935,4.654403,3.647073,0.496369,0.515714285714286,360
"428","06071",2020-07-21,4.948691,9.818453,5.348745,0.83584,0.62,968
"429","06073",2020-07-21,6.468823,6.071537,2.811678,0.472235,0.404285714285714,385
"430","06075",2020-07-21,8.125314,5.07623,17.872222,0.311223,0.252857142857143,58
"433","06081",2020-07-21,7.90837,0.26703,4.318932,0.943629,0.322857142857143,123
"435","06085",2020-07-21,6.269672,1.342139,6.039298,0.830783,0.315714285714286,251
"443","06111",2020-07-21,4.304501,3.884567,6.704746,0.503252,0.325714285714286,763
"447","06001",2020-07-22,7.543967,1.964488,9.4782,0.705671,0.348571428571429,260
"452","06013",2020-07-22,6.141283,4.618482,10.960557,0.892832,0.394285714285714,271
"454","06019",2020-07-22,8.446511,6.513204,10.877334,1.033592,0.712857142857143,442
"457","06029",2020-07-22,7.501637,13.404896,8.620762,1.845384,0.937142857142857,1120
"460","06037",2020-07-22,11.349742,7.382432,8.232939,0.622854,0.437142857142857,3197
"468","06059",2020-07-22,9.866963,6.739275,5.902382,0.946294,0.434285714285714,767
"470","06065",2020-07-22,5.609916,8.248387,6.256152,0.637464,0.621428571428571,1092
"471","06067",2020-07-22,3.919038,4.812516,4.020586,0.533354,0.537142857142857,285
"473","06071",2020-07-22,4.464724,9.215145,5.513389,0.90668,0.598571428571429,708
"474","06073",2020-07-22,5.954779,5.613061,2.798125,0.418779,0.392857142857143,587
"475","06075",2020-07-22,7.785455,5.010493,17.733697,0.329887,0.281428571428571,96
"478","06081",2020-07-22,7.231703,0.333555,3.726814,1.277487,0.302857142857143,102
"480","06085",2020-07-22,5.76621,1.297804,6.09206,0.766623,0.315714285714286,275
"489","06111",2020-07-22,4.527656,3.991877,6.366277,0.403962,0.34,94
"493","06001",2020-07-23,6.927879,1.904227,9.505636,0.817036,0.335714285714286,226
"498","06013",2020-07-23,5.681537,4.822896,10.56942,0.822944,0.411428571428571,223
"500","06019",2020-07-23,8.068975,6.157191,10.30588,0.999181,0.684285714285714,344
"503","06029",2020-07-23,6.758272,12.821592,9.03004,1.707764,0.87,1135
"506","06037",2020-07-23,10.01417,7.307117,8.227543,0.655583,0.425714285714286,1978
"514","06059",2020-07-23,8.293032,7.162766,6.019093,0.900848,0.425714285714286,905
"516","06065",2020-07-23,4.643614,8.70654,6.030976,0.607574,0.59,831
"517","06067",2020-07-23,3.736131,5.058897,3.81018,0.515413,0.531428571428571,276
"519","06071",2020-07-23,3.833369,8.664164,5.486374,0.911438,0.594285714285714,410
"520","06073",2020-07-23,5.389222,4.995164,2.839221,0.391296,0.385714285714286,501
"521","06075",2020-07-23,7.329676,4.566481,17.610827,0.298132,0.258571428571429,105
"524","06081",2020-07-23,6.650664,0.384414,3.62267,1.084467,0.29,109
"526","06085",2020-07-23,5.308877,1.296443,6.326326,0.69613,0.327142857142857,212
"535","06111",2020-07-23,4.853634,4.074488,6.049691,0.439529,0.314285714285714,107
"539","06001",2020-07-19,7.088066,1.994254,9.73143,0.713268,0.35,127
"544","06013",2020-07-19,4.996241,3.31244,11.921638,0.874328,0.381428571428571,68
"546","06019",2020-07-19,8.905313,6.884345,12.833149,1.052016,0.748571428571429,0
"549","06029",2020-07-19,7.799995,15.291268,9.258429,1.884609,1.02857142857143,719
"552","06037",2020-07-19,9.040738,6.632604,7.517114,0.689043,0.468571428571429,2846
"560","06059",2020-07-19,8.335114,5.182242,6.283282,0.939129,0.512857142857143,415
"562","06065",2020-07-19,6.459583,7.308026,6.922541,0.699688,0.674285714285714,0
"563","06067",2020-07-19,3.100893,4.230557,3.603913,0.498227,0.504285714285714,242
"565","06071",2020-07-19,4.314983,9.592955,5.392371,0.914519,0.645714285714286,206
"566","06073",2020-07-19,5.520244,6.165177,3.060201,0.489871,0.408571428571429,568
"567","06075",2020-07-19,7.930004,4.806777,18.090068,0.249339,0.278571428571429,86
"570","06081",2020-07-19,5.040871,0.20586,5.714077,0.394675,0.334285714285714,0
"572","06085",2020-07-19,5.386129,1.266344,5.587633,0.746726,0.307142857142857,156
"580","06111",2020-07-19,4.096794,3.723387,6.986327,0.591053,0.317142857142857,0
"584","06001",2020-07-18,5.280125,2.063472,10.315715,0.715804,0.324285714285714,252
"589","06013",2020-07-18,4.863564,3.063184,12.417669,0.869532,0.375714285714286,160
"591","06019",2020-07-18,8.731546,6.567814,12.905212,1.006973,0.73,389
"594","06029",2020-07-18,7.460133,16.252717,9.521088,1.958483,1.04428571428571,495
"597","06037",2020-07-18,5.991062,6.314365,7.764846,0.720544,0.47,2722
"605","06059",2020-07-18,5.725187,5.339638,6.25922,0.964972,0.528571428571429,702
"607","06065",2020-07-18,5.080003,7.192951,7.321482,0.737705,0.685714285714286,0
