"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"93","06001",2020-07-30,5.902294,1.369901,9.809751,1.280593,0.282857142857143,358
"94","06005",2020-07-30,0.474036,2.78638280990948,3.036285,0.910879,0.331134935809888,5
"95","06007",2020-07-30,3.599508,2.78638280990948,2.217794,0.096773,0.331134935809888,24
"96","06009",2020-07-30,3.616211,2.78638280990948,6.121587,1.885744,0.331134935809888,0
"97","06011",2020-07-30,5.290408,2.78638280990948,24.1539,0.774818,0.331134935809888,8
"98","06013",2020-07-30,5.173582,5.045024,9.842487,0.891349,0.337142857142857,-137
"99","06017",2020-07-30,1.117495,2.78638280990948,1.546558,0.406679,0.331134935809888,24
"100","06019",2020-07-30,8.21597,8.138497,10.783286,1.085008,0.66,379
"101","06023",2020-07-30,0.390274,2.78638280990948,1.058096,0.094491,0.331134935809888,3
"102","06025",2020-07-30,5.507825,2.78638280990948,11.467179,1.673633,0.331134935809888,57
"103","06029",2020-07-30,6.029383,11.565535,8.982563,1.778723,0.748571428571429,1067
"104","06031",2020-07-30,10.379522,2.78638280990948,8.7687,0.392498,0.331134935809888,40
"105","06033",2020-07-30,8.28284,2.78638280990948,0.4604,0.125283,0.331134935809888,2
"106","06037",2020-07-30,8.032071,6.32308,7.365427,0.571564,0.351428571428571,2489
"107","06039",2020-07-30,4.65321,2.78638280990948,7.798951,2.813264,0.331134935809888,36
"108","06041",2020-07-30,6.918072,2.77249,7.034079,0.138911,0.331134935809888,1604
"109","06045",2020-07-30,0.482133,2.78638280990948,1.292826,0.32289,0.331134935809888,6
"110","06047",2020-07-30,18.046373,2.78638280990948,9.540201,1.272787,0.331134935809888,159
"111","06053",2020-07-30,6.414429,12.38395,9.283714,2.064858,0.331134935809888,317
"112","06055",2020-07-30,3.058463,2.78638280990948,4.831629,0.383758,0.331134935809888,5
"113","06057",2020-07-30,0.603411,2.78638280990948,1.103431,0.187841,0.331134935809888,5
"114","06059",2020-07-30,7.003064,6.304923,5.318095,0.56794,0.33,506
"115","06061",2020-07-30,2.200172,4.283745,2.301291,0.315592,0.331134935809888,32
"116","06065",2020-07-30,4.134125,9.232577,5.479166,0.698518,0.512857142857143,470
"117","06067",2020-07-30,3.000389,7.223634,3.368389,0.428474,0.447142857142857,150
"118","06069",2020-07-30,7.843186,2.78638280990948,13.102163,0.705465,0.331134935809888,8
"119","06071",2020-07-30,4.250491,7.631346,5.728006,0.730248,0.517142857142857,-621
"120","06073",2020-07-30,4.303988,2.690115,2.446332,0.304159,0.325714285714286,381
"121","06075",2020-07-30,7.456273,2.503428,17.755959,0.278772,0.248571428571429,226
"122","06077",2020-07-30,5.233522,5.470628,7.139249,1.135538,0.364285714285714,133
"123","06079",2020-07-30,3.253101,2.196052,13.159478,0.093367,0.331134935809888,30
"124","06081",2020-07-30,4.460639,3.691624,6.081863,0.289532,0.208571428571429,92
"125","06083",2020-07-30,4.699023,2.78638280990948,13.849735,0.707303,0.331134935809888,73
"126","06085",2020-07-30,4.451721,1.076364,6.330518,0.50895,0.282857142857143,119
"127","06087",2020-07-30,5.707355,2.78638280990948,6.893581,0.480488,0.331134935809888,46
"128","06089",2020-07-30,0.904862,2.78638280990948,0.709314,0.052603,0.331134935809888,12
"129","06095",2020-07-30,2.297264,3.259768,4.037379,0.068609,0.331134935809888,58
"130","06097",2020-07-30,1.707136,2.80804,2.911012,0.284516,0.331134935809888,0
"131","06099",2020-07-30,12.517604,5.56165,4.276184,0.966478,0.331134935809888,253
"132","06101",2020-07-30,4.863023,2.78638280990948,1.440565,0.360881,0.331134935809888,24
"133","06107",2020-07-30,12.170854,2.78638280990948,6.633512,1.540449,0.331134935809888,165
"134","06111",2020-07-30,4.596027,5.178239,5.884768,0.282815,0.277142857142857,106
"135","06113",2020-07-30,3.678331,2.78638280990948,3.503124,0.33477,0.331134935809888,17
"136","06000",2020-07-28,2.039403,5.448646,22.305814,0.242975,0.331134935809888,0
"137","06001",2020-07-28,6.893794,1.365953,9.034069,1.142882,0.297142857142857,195
"138","06005",2020-07-28,0.143182,2.78638280990948,3.047811,0.846906,0.331134935809888,5
"139","06007",2020-07-28,3.951178,2.78638280990948,2.404837,0.089897,0.331134935809888,46
"140","06009",2020-07-28,4.981995,2.78638280990948,5.823454,1.479391,0.331134935809888,9
"141","06011",2020-07-28,5.876747,2.78638280990948,26.02887,0.543297,0.331134935809888,19
"142","06013",2020-07-28,5.793895,5.435223,9.204716,0.77595,0.355714285714286,231
"143","06017",2020-07-28,1.379146,2.78638280990948,1.77717,0.374575,0.331134935809888,24
"144","06019",2020-07-28,9.369235,6.710412,10.114458,1.235289,0.654285714285714,127
"145","06023",2020-07-28,0.547934,2.78638280990948,0.975761,0.119171,0.331134935809888,4
"146","06025",2020-07-28,6.066243,2.78638280990948,12.415579,1.484375,0.331134935809888,27
"147","06029",2020-07-28,6.378685,11.495446,8.674554,1.657973,0.768571428571429,1893
"148","06031",2020-07-28,11.37125,2.78638280990948,8.281122,0.44357,0.331134935809888,124
"149","06033",2020-07-28,4.41295,2.78638280990948,0.523208,0.088121,0.331134935809888,5
"150","06037",2020-07-28,10.658664,7.024813,7.517309,0.585111,0.367142857142857,2614
"151","06039",2020-07-28,4.70083,2.78638280990948,8.718827,2.757142,0.331134935809888,118
"152","06041",2020-07-28,7.796298,1.980926,7.038393,0.170395,0.331134935809888,-61
"153","06045",2020-07-28,0.890126,2.78638280990948,1.228058,0.259399,0.331134935809888,9
"154","06047",2020-07-28,19.107217,2.78638280990948,10.316035,1.073656,0.331134935809888,253
"155","06053",2020-07-28,8.28166,14.999481,9.994521,2.475421,0.331134935809888,58
"156","06055",2020-07-28,2.775925,2.78638280990948,4.547376,0.234189,0.331134935809888,40
"157","06057",2020-07-28,0.580948,2.78638280990948,1.315267,0.244416,0.331134935809888,12
"158","06059",2020-07-28,9.777587,6.622233,5.096295,0.639296,0.347142857142857,187
"159","06061",2020-07-28,3.004131,8.029785,2.184383,0.382872,0.331134935809888,68
"160","06065",2020-07-28,5.682047,10.551738,4.730811,0.670077,0.531428571428571,723
"161","06067",2020-07-28,3.471151,6.76089,3.553103,0.411642,0.487142857142857,400
"162","06069",2020-07-28,7.996635,2.78638280990948,14.165731,0.270448,0.331134935809888,31
"163","06071",2020-07-28,4.855575,7.161336,5.189112,0.722893,0.524285714285714,831
"164","06073",2020-07-28,5.207508,3.29999,2.490522,0.355684,0.334285714285714,498
"165","06075",2020-07-28,8.219783,2.909002,18.597588,0.280432,0.274285714285714,43
"166","06077",2020-07-28,6.248134,4.755185,7.369596,1.263537,0.347142857142857,248
"167","06079",2020-07-28,3.816437,1.432283,14.054338,0.077612,0.331134935809888,45
"168","06081",2020-07-28,4.83843,2.064593,4.355679,0.532782,0.231428571428571,74
"169","06083",2020-07-28,5.411988,2.78638280990948,12.414731,0.757852,0.331134935809888,95
"170","06085",2020-07-28,5.968047,1.161817,5.475954,0.492336,0.304285714285714,144
"171","06087",2020-07-28,6.653135,2.78638280990948,6.747209,0.271993,0.331134935809888,60
"172","06089",2020-07-28,0.911912,2.78638280990948,0.351669,0.065006,0.331134935809888,16
"173","06095",2020-07-28,3.003267,2.78638280990948,3.765088,0.137135,0.331134935809888,105
"174","06097",2020-07-28,1.868549,2.703784,2.84271,0.497791,0.331134935809888,47
"175","06099",2020-07-28,13.05387,5.447388,4.180097,1.001093,0.331134935809888,60
"176","06101",2020-07-28,3.879809,2.78638280990948,0.887017,0.411644,0.331134935809888,54
